,texto
3687,"“Narborough wasn’t perfect,” cried the old lady."
3688,"“If he had been, you would not have loved him, my dear lady,” was the rejoinder. “Women love us for our"
3689,"defects. If we have enough of them, they will forgive us everything, even our intellects. You will never ask me to"
3690,"dinner again after saying this, I am afraid, Lady Narborough, but it is quite true.”"
3691,"“Of course it is true, Lord Henry. If we women did not love you for your defects, where would you all be? Not"
3692,"one of you would ever be married. You would be a set of unfortunate bachelors. Not, however, that that would"
3693,"alter you much. Nowadays all the married men live like bachelors, and all the bachelors like married men.”"
3694,"“Fin de siêcle,” murmured Lord Henry."
3695,"“Fin du globe,” answered his hostess."
3696,"“I wish it were fin du globe,” said Dorian with a sigh. “Life is a great disappointment.”"
3697,"“Ah, my dear,” cried Lady Narborough, putting on her gloves, “don’t tell me that you have exhausted life."
3698,"When a man says that one knows that life has exhausted him. Lord Henry is very wicked, and I sometimes wish"
3699,"that I had been; but you are made to be good—you look so good. I must ﬁnd you a nice wife. Lord Henry, don’t"
3700,you think that Mr. Gray should get married?”
3701,"“I am always telling him so, Lady Narborough,” said Lord Henry with a bow."
3702,"“Well, we must look out for a suitable match for him. I shall go through Debrett carefully to-night and draw out"
3703,a list of all the eligible young ladies.”
3704,"“With their ages, Lady Narborough?” asked Dorian."
3705,"“Of course, with their ages, slightly edited. But nothing must be done in a hurry. I want it to be what The"
3706,"Morning Post calls a suitable alliance, and I want you both to be happy.”"
3707,“What nonsense people talk about happy marriages!” exclaimed Lord Henry. “A man can be happy with any
3708,"woman, as long as he does not love her.”"
3709,"“Ah! what a cynic you are!” cried the old lady, pushing back her chair and nodding to Lady Ruxton. “You must"
3710,"come and dine with me soon again. You are really an admirable tonic, much better than what Sir Andrew"
3711,"prescribes for me. You must tell me what people you would like to meet, though. I want it to be a delightful"
3712,gathering.”
3713,"“I like men who have a future and women who have a past,” he answered. “Or do you think that would make it"
3714,a petticoat party?”
3715,"“I fear so,” she said, laughing, as she stood up. “A thousand pardons, my dear Lady Ruxton,” she added, “I"
3716,didn’t see you hadn’t finished your cigarette.”
3717,"“Never mind, Lady Narborough. I smoke a great deal too much. I am going to limit myself, for the future.”"
3718,"“Pray don’t, Lady Ruxton,” said Lord Henry. “Moderation is a fatal thing. Enough is as bad as a meal. More"
3719,than enough is as good as a feast.”
3720,"Lady Ruxton glanced at him curiously. “You must come and explain that to me some afternoon, Lord Henry. It"
3721,"sounds a fascinating theory,” she murmured, as she swept out of the room."
3722,"“Now, mind you don’t stay too long over your politics and scandal,” cried Lady Narborough from the door. “If"
3723,"you do, we are sure to squabble upstairs.”"
3724,"The men laughed, and Mr. Chapman got up solemnly from the foot of the table and came up to the top."
3725,Dorian Gray changed his seat and went and sat by Lord Henry. Mr. Chapman began to talk in a loud voice
3726,about the situation in the House of Commons. He guﬀawed at his adversaries. The word doctrinaire—word full
3727,of terror to the British mind—reappeared from time to time between his explosions. An alliterative preﬁx served
3728,as an ornament of oratory. He hoisted the Union Jack on the pinnacles of thought. The inherited stupidity of the
3729,race—sound English common sense he jovially termed it—was shown to be the proper bulwark for society.
3730,"A smile curved Lord Henry’s lips, and he turned round and looked at Dorian."
3731,"“Are you better, my dear fellow?” he asked. “You seemed rather out of sorts at dinner.”"
3732,"   “I am quite well, Harry. I am tired. That is all.”"
3733,“You were charming last night. The little duchess is quite devoted to you. She tells me she is going down to
3734,Selby.”
3735,“She has promised to come on the twentieth.”
3736,"“Is Monmouth to be there, too?”"
3737,"“Oh, yes, Harry.”"
3738,"“He bores me dreadfully, almost as much as he bores her. She is very clever, too clever for a woman. She"
3739,lacks the indeﬁnable charm of weakness. It is the feet of clay that make the gold of the image precious. Her feet
3740,"are very pretty, but they are not feet of clay. White porcelain feet, if you like. They have been through the ﬁre,"
3741,"and what fire does not destroy, it hardens. She has had experiences.”"
3742,“How long has she been married?” asked Dorian.
3743,"“An eternity, she tells me. I believe, according to the peerage, it is ten years, but ten years with Monmouth"
3744,"must have been like eternity, with time thrown in. Who else is coming?”"
3745,"“Oh, the Willoughbys, Lord Rugby and his wife, our hostess, Geoﬀrey Clouston, the usual set. I have asked"
3746,Lord Grotrian.”
3747,"“I like him,” said Lord Henry. “A great many people don’t, but I ﬁnd him charming. He atones for being"
3748,occasionally somewhat overdressed by being always absolutely over-educated. He is a very modern type.”
3749,"“I don’t know if he will be able to come, Harry. He may have to go to Monte Carlo with his father.”"
3750,"“Ah! what a nuisance people’s people are! Try and make him come. By the way, Dorian, you ran oﬀ very early"
3751,last night. You left before eleven. What did you do afterwards? Did you go straight home?”
3752,Dorian glanced at him hurriedly and frowned.
3753,"“No, Harry,” he said at last, “I did not get home till nearly three.”"
3754,“Did you go to the club?”
3755,"“Yes,” he answered. Then he bit his lip. “No, I don’t mean that. I didn’t go to the club. I walked about. I forget"
3756,"what I did.... How inquisitive you are, Harry! You always want to know what one has been doing. I always want"
3757,"to forget what I have been doing. I came in at half-past two, if you wish to know the exact time. I had left my"
3758,"latch-key at home, and my servant had to let me in. If you want any corroborative evidence on the subject, you"
3759,can ask him.”
3760,"Lord Henry shrugged his shoulders. “My dear fellow, as if I cared! Let us go up to the drawing-room. No"
3761,"sherry, thank you, Mr. Chapman. Something has happened to you, Dorian. Tell me what it is. You are not"
3762,yourself to-night.”
3763,"“Don’t mind me, Harry. I am irritable, and out of temper. I shall come round and see you to-morrow, or next"
3764,day. Make my excuses to Lady Narborough. I shan’t go upstairs. I shall go home. I must go home.”
3765,"“All right, Dorian. I dare say I shall see you to-morrow at tea-time. The duchess is coming.”"
3766,"“I will try to be there, Harry,” he said, leaving the room. As he drove back to his own house, he was conscious"
3767,that the sense of terror he thought he had strangled had come back to him. Lord Henry’s casual questioning
3768,"had made him lose his nerve for the moment, and he wanted his nerve still. Things that were dangerous had to"
3769,be destroyed. He winced. He hated the idea of even touching them.
3770,"Yet it had to be done. He realized that, and when he had locked the door of his library, he opened the secret"
3771,press into which he had thrust Basil Hallward’s coat and bag. A huge ﬁre was blazing. He piled another log on it.
3772,The smell of the singeing clothes and burning leather was horrible. It took him three-quarters of an hour to
3773,"consume everything. At the end he felt faint and sick, and having lit some Algerian pastilles in a pierced copper"
3774,"brazier, he bathed his hands and forehead with a cool musk-scented vinegar."
3775,"Suddenly he started. His eyes grew strangely bright, and he gnawed nervously at his underlip. Between two"
3776,"of the windows stood a large Florentine cabinet, made out of ebony and inlaid with ivory and blue lapis. He"
3777,"watched it as though it were a thing that could fascinate and make afraid, as though it held something that he"
3778,longed for and yet almost loathed. His breath quickened. A mad craving came over him. He lit a cigarette and
3779,then threw it away. His eyelids drooped till the long fringed lashes almost touched his cheek. But he still
3780,"watched the cabinet. At last he got up from the sofa on which he had been lying, went over to it, and having"
3781,"unlocked it, touched some hidden spring. A triangular drawer passed slowly out. His ﬁngers moved instinctively"
3782,"towards it, dipped in, and closed on something. It was a small Chinese box of black and gold-dust lacquer,"
3783,"elaborately wrought, the sides patterned with curved waves, and the silken cords hung with round crystals and"
3784,"tasselled in plaited metal threads. He opened it. Inside was a green paste, waxy in lustre, the odour curiously"
3785,heavy and persistent.
3786,"He hesitated for some moments, with a strangely immobile smile upon his face. Then shivering, though the"
3787,"atmosphere of the room was terribly hot, he drew himself up and glanced at the clock. It was twenty minutes to"
3788,"twelve. He put the box back, shutting the cabinet doors as he did so, and went into his bedroom."
3789,"As midnight was striking bronze blows upon the dusky air, Dorian Gray, dressed commonly, and with a"
3790,"muﬄer wrapped round his throat, crept quietly out of his house. In Bond Street he found a hansom with a good"
3791,horse. He hailed it and in a low voice gave the driver an address.
3792,"The man shook his head. “It is too far for me,” he muttered."
3793,"“Here is a sovereign for you,” said Dorian. “You shall have another if you drive fast.”"
3794,"“All right, sir,” answered the man, “you will be there in an hour,” and after his fare had got in he turned his"
3795,horse round and drove rapidly towards the river.
3796,                                              CHAPTER XVI.
3797,"A cold rain began to fall, and the blurred street-lamps looked ghastly in the dripping mist. The public-houses"
3798,"were just closing, and dim men and women were clustering in broken groups round their doors. From some of"
3799,"the bars came the sound of horrible laughter. In others, drunkards brawled and screamed."
3800,"Lying back in the hansom, with his hat pulled over his forehead, Dorian Gray watched with listless eyes the"
3801,"sordid shame of the great city, and now and then he repeated to himself the words that Lord Henry had said to"
3802,"him on the ﬁrst day they had met, “To cure the soul by means of the senses, and the senses by means of the"
3803,"soul.” Yes, that was the secret. He had often tried it, and would try it again now. There were opium dens where"
3804,"one could buy oblivion, dens of horror where the memory of old sins could be destroyed by the madness of sins"
3805,that were new.
3806,The moon hung low in the sky like a yellow skull. From time to time a huge misshapen cloud stretched a long
3807,"arm across and hid it. The gas-lamps grew fewer, and the streets more narrow and gloomy. Once the man lost"
3808,his way and had to drive back half a mile. A steam rose from the horse as it splashed up the puddles. The
3809,sidewindows of the hansom were clogged with a grey-flannel mist.
3810,"“To cure the soul by means of the senses, and the senses by means of the soul!” How the words rang in his"
3811,"ears! His soul, certainly, was sick to death. Was it true that the senses could cure it? Innocent blood had been"
3812,"spilled. What could atone for that? Ah! for that there was no atonement; but though forgiveness was impossible,"
3813,"forgetfulness was possible still, and he was determined to forget, to stamp the thing out, to crush it as one would"
3814,"crush the adder that had stung one. Indeed, what right had Basil to have spoken to him as he had done? Who"
3815,"had made him a judge over others? He had said things that were dreadful, horrible, not to be endured."
3816,"On and on plodded the hansom, going slower, it seemed to him, at each step. He thrust up the trap and called"
3817,to the man to drive faster. The hideous hunger for opium began to gnaw at him. His throat burned and his
3818,delicate hands twitched nervously together. He struck at the horse madly with his stick. The driver laughed and
3819,"whipped up. He laughed in answer, and the man was silent."
3820,"The way seemed interminable, and the streets like the black web of some sprawling spider. The monotony"
3821,"became unbearable, and as the mist thickened, he felt afraid."
3822,"Then they passed by lonely brickﬁelds. The fog was lighter here, and he could see the strange, bottle-shaped"
3823,"kilns with their orange, fanlike tongues of ﬁre. A dog barked as they went by, and far away in the darkness some"
3824,"wandering sea-gull screamed. The horse stumbled in a rut, then swerved aside and broke into a gallop."
3825,After some time they left the clay road and rattled again over rough-paven streets. Most of the windows were
3826,"dark, but now and then fantastic shadows were silhouetted against some lamplit blind. He watched them"
3827,curiously. They moved like monstrous marionettes and made gestures like live things. He hated them. A dull
3828,"rage was in his heart. As they turned a corner, a woman yelled something at them from an open door, and two"
3829,men ran after the hansom for about a hundred yards. The driver beat at them with his whip.
3830,It is said that passion makes one think in a circle. Certainly with hideous iteration the bitten lips of Dorian Gray
3831,"shaped and reshaped those subtle words that dealt with soul and sense, till he had found in them the full"
3832,"expression, as it were, of his mood, and justiﬁed, by intellectual approval, passions that without such justiﬁcation"
3833,would still have dominated his temper. From cell to cell of his brain crept the one thought; and the wild desire to
3834,"live, most terrible of all man’s appetites, quickened into force each trembling nerve and ﬁbre. Ugliness that had"
3835,"once been hateful to him because it made things real, became dear to him now for that very reason. Ugliness"
3836,"was the one reality. The coarse brawl, the loathsome den, the crude violence of disordered life, the very"
3837,"vileness of thief and outcast, were more vivid, in their intense actuality of impression, than all the gracious"
3838,"shapes of art, the dreamy shadows of song. They were what he needed for forgetfulness. In three days he"
3839,would be free.
3840,Suddenly the man drew up with a jerk at the top of a dark lane. Over the low roofs and jagged chimney-stacks
3841,of the houses rose the black masts of ships. Wreaths of white mist clung like ghostly sails to the yards.
3842,"“Somewhere about here, sir, ain’t it?” he asked huskily through the trap."
3843,"Dorian started and peered round. “This will do,” he answered, and having got out hastily and given the driver"
3844,"the extra fare he had promised him, he walked quickly in the direction of the quay. Here and there a lantern"
3845,gleamed at the stern of some huge merchantman. The light shook and splintered in the puddles. A red glare
3846,came from an outward-bound steamer that was coaling. The slimy pavement looked like a wet mackintosh.
3847,"He hurried on towards the left, glancing back now and then to see if he was being followed. In about seven or"
3848,eight minutes he reached a small shabby house that was wedged in between two gaunt factories. In one of the
3849,top-windows stood a lamp. He stopped and gave a peculiar knock.
3850,"After a little time he heard steps in the passage and the chain being unhooked. The door opened quietly, and"
3851,he went in without saying a word to the squat misshapen ﬁgure that ﬂattened itself into the shadow as he
3852,passed. At the end of the hall hung a tattered green curtain that swayed and shook in the gusty wind which had
3853,followed him in from the street. He dragged it aside and entered a long low room which looked as if it had once
3854,"been a third-rate dancing-saloon. Shrill ﬂaring gas-jets, dulled and distorted in the ﬂy-blown mirrors that faced"
3855,"them, were ranged round the walls. Greasy reﬂectors of ribbed tin backed them, making quivering disks of light."
3856,"The ﬂoor was covered with ochre-coloured sawdust, trampled here and there into mud, and stained with dark"
3857,"rings of spilled liquor. Some Malays were crouching by a little charcoal stove, playing with bone counters and"
3858,"showing their white teeth as they chattered. In one corner, with his head buried in his arms, a sailor sprawled"
3859,"over a table, and by the tawdrily painted bar that ran across one complete side stood two haggard women,"
3860,mocking an old man who was brushing the sleeves of his coat with an expression of disgust. “He thinks he’s got
3861,"red ants on him,” laughed one of them, as Dorian passed by. The man looked at her in terror and began to"
3862,whimper.
3863,"At the end of the room there was a little staircase, leading to a darkened chamber. As Dorian hurried up its"
3864,"three rickety steps, the heavy odour of opium met him. He heaved a deep breath, and his nostrils quivered with"
3865,"pleasure. When he entered, a young man with smooth yellow hair, who was bending over a lamp lighting a long"
3866,"thin pipe, looked up at him and nodded in a hesitating manner."
3867,"“You here, Adrian?” muttered Dorian."
3868,"“Where else should I be?” he answered, listlessly. “None of the chaps will speak to me now.”"
3869,“I thought you had left England.”
3870,“Darlington is not going to do anything. My brother paid the bill at last. George doesn’t speak to me either.... I
3871,"don’t care,” he added with a sigh. “As long as one has this stuﬀ, one doesn’t want friends. I think I have had too"
3872,many friends.”
3873,Dorian winced and looked round at the grotesque things that lay in such fantastic postures on the ragged
3874,"mattresses. The twisted limbs, the gaping mouths, the staring lustreless eyes, fascinated him. He knew in what"
3875,"strange heavens they were suﬀering, and what dull hells were teaching them the secret of some new joy. They"
3876,"were better oﬀ than he was. He was prisoned in thought. Memory, like a horrible malady, was eating his soul"
3877,away. From time to time he seemed to see the eyes of Basil Hallward looking at him. Yet he felt he could not
3878,stay. The presence of Adrian Singleton troubled him. He wanted to be where no one would know who he was.
3879,He wanted to escape from himself.
3880,"“I am going on to the other place,” he said after a pause."
3881,“On the wharf?”
3882,“Yes.”
3883,“That mad-cat is sure to be there. They won’t have her in this place now.”
3884,Dorian shrugged his shoulders. “I am sick of women who love one. Women who hate one are much more
3885,"interesting. Besides, the stuff is better.”"
3886,“Much the same.”
3887,“I like it better. Come and have something to drink. I must have something.”
3888,"“I don’t want anything,” murmured the young man."
3889,“Never mind.”
3890,"Adrian Singleton rose up wearily and followed Dorian to the bar. A half-caste, in a ragged turban and a"
3891,"shabby ulster, grinned a hideous greeting as he thrust a bottle of brandy and two tumblers in front of them. The"
3892,women sidled up and began to chatter. Dorian turned his back on them and said something in a low voice to
3893,Adrian Singleton.
3894,"A crooked smile, like a Malay crease, writhed across the face of one of the women. “We are very proud to-"
3895,"night,” she sneered."
3896,"“For God’s sake don’t talk to me,” cried Dorian, stamping his foot on the ground. “What do you want? Money?"
3897,Here it is. Don’t ever talk to me again.”
3898,"Two red sparks ﬂashed for a moment in the woman’s sodden eyes, then ﬂickered out and left them dull and"
3899,glazed. She tossed her head and raked the coins oﬀ the counter with greedy ﬁngers. Her companion watched
3900,her enviously.
3901,"“It’s no use,” sighed Adrian Singleton. “I don’t care to go back. What does it matter? I am quite happy here.”"
3902,"“You will write to me if you want anything, won’t you?” said Dorian, after a pause."
3903,“Perhaps.”
3904,"“Good night, then.”"
3905,"“Good night,” answered the young man, passing up the steps and wiping his parched mouth with a"
3906,handkerchief.
3907,"Dorian walked to the door with a look of pain in his face. As he drew the curtain aside, a hideous laugh broke"
3908,"from the painted lips of the woman who had taken his money. “There goes the devil’s bargain!” she hiccoughed,"
3909,in a hoarse voice.
3910,"“Curse you!” he answered, “don’t call me that.”"
3911,"She snapped her fingers. “Prince Charming is what you like to be called, ain’t it?” she yelled after him."
3912,"The drowsy sailor leaped to his feet as she spoke, and looked wildly round. The sound of the shutting of the"
3913,hall door fell on his ear. He rushed out as if in pursuit.
3914,Dorian Gray hurried along the quay through the drizzling rain. His meeting with Adrian Singleton had
3915,"strangely moved him, and he wondered if the ruin of that young life was really to be laid at his door, as Basil"
3916,"Hallward had said to him with such infamy of insult. He bit his lip, and for a few seconds his eyes grew sad. Yet,"
3917,"after all, what did it matter to him? One’s days were too brief to take the burden of another’s errors on one’s"
3918,shoulders. Each man lived his own life and paid his own price for living it. The only pity was one had to pay so
3919,"often for a single fault. One had to pay over and over again, indeed. In her dealings with man, destiny never"
3920,closed her accounts.
3921,"There are moments, psychologists tell us, when the passion for sin, or for what the world calls sin, so"
3922,"dominates a nature that every ﬁbre of the body, as every cell of the brain, seems to be instinct with fearful"
3923,impulses. Men and women at such moments lose the freedom of their will. They move to their terrible end as
3924,"automatons move. Choice is taken from them, and conscience is either killed, or, if it lives at all, lives but to give"
3925,"rebellion its fascination and disobedience its charm. For all sins, as theologians weary not of reminding us, are"
3926,"sins of disobedience. When that high spirit, that morning star of evil, fell from heaven, it was as a rebel that he"
3927,fell.
3928,"Callous, concentrated on evil, with stained mind, and soul hungry for rebellion, Dorian Gray hastened on,"
3929,"quickening his step as he went, but as he darted aside into a dim archway, that had served him often as a short"
3930,"cut to the ill-famed place where he was going, he felt himself suddenly seized from behind, and before he had"
3931,"time to defend himself, he was thrust back against the wall, with a brutal hand round his throat."
3932,"He struggled madly for life, and by a terrible effort wrenched the tightening fingers away. In a second he heard"
3933,"the click of a revolver, and saw the gleam of a polished barrel, pointing straight at his head, and the dusky form"
3934,"of a short, thick-set man facing him."
3935,“What do you want?” he gasped.
3936,"“Keep quiet,” said the man. “If you stir, I shoot you.”"
3937,“You are mad. What have I done to you?”
3938,"“You wrecked the life of Sibyl Vane,” was the answer, “and Sibyl Vane was my sister. She killed herself. I"
3939,"know it. Her death is at your door. I swore I would kill you in return. For years I have sought you. I had no clue,"
3940,no trace. The two people who could have described you were dead. I knew nothing of you but the pet name she
3941,"used to call you. I heard it to-night by chance. Make your peace with God, for to-night you are going to die.”"
3942,"Dorian Gray grew sick with fear. “I never knew her,” he stammered. “I never heard of her. You are mad.”"
3943,"“You had better confess your sin, for as sure as I am James Vane, you are going to die.” There was a horrible"
3944,moment. Dorian did not know what to say or do. “Down on your knees!” growled the man. “I give you one
3945,"minute to make your peace—no more. I go on board to-night for India, and I must do my job ﬁrst. One minute."
3946,That’s all.”
3947,"Dorian’s arms fell to his side. Paralysed with terror, he did not know what to do. Suddenly a wild hope ﬂashed"
3948,"across his brain. “Stop,” he cried. “How long ago is it since your sister died? Quick, tell me!”"
3949,"“Eighteen years,” said the man. “Why do you ask me? What do years matter?”"
3950,"“Eighteen years,” laughed Dorian Gray, with a touch of triumph in his voice. “Eighteen years! Set me under"
3951,the lamp and look at my face!”
3952,"James Vane hesitated for a moment, not understanding what was meant. Then he seized Dorian Gray and"
3953,dragged him from the archway.
3954,"Dim and wavering as was the wind-blown light, yet it served to show him the hideous error, as it seemed, into"
3955,"which he had fallen, for the face of the man he had sought to kill had all the bloom of boyhood, all the unstained"
3956,"purity of youth. He seemed little more than a lad of twenty summers, hardly older, if older indeed at all, than his"
3957,sister had been when they had parted so many years ago. It was obvious that this was not the man who had
3958,destroyed her life.
3959,"He loosened his hold and reeled back. “My God! my God!” he cried, “and I would have murdered you!”"
3960,"Dorian Gray drew a long breath. “You have been on the brink of committing a terrible crime, my man,” he said,"
3961,looking at him sternly. “Let this be a warning to you not to take vengeance into your own hands.”
3962,"“Forgive me, sir,” muttered James Vane. “I was deceived. A chance word I heard in that damned den set me"
3963,on the wrong track.”
3964,"“You had better go home and put that pistol away, or you may get into trouble,” said Dorian, turning on his"
3965,heel and going slowly down the street.
3966,"James Vane stood on the pavement in horror. He was trembling from head to foot. After a little while, a black"
3967,shadow that had been creeping along the dripping wall moved out into the light and came close to him with
3968,stealthy footsteps. He felt a hand laid on his arm and looked round with a start. It was one of the women who
3969,had been drinking at the bar.
3970,"“Why didn’t you kill him?” she hissed out, putting haggard face quite close to his. “I knew you were following"
3971,"him when you rushed out from Daly’s. You fool! You should have killed him. He has lots of money, and he’s as"
3972,bad as bad.”
3973,"“He is not the man I am looking for,” he answered, “and I want no man’s money. I want a man’s life. The man"
3974,"whose life I want must be nearly forty now. This one is little more than a boy. Thank God, I have not got his"
3975,blood upon my hands.”
3976,"The woman gave a bitter laugh. “Little more than a boy!” she sneered. “Why, man, it’s nigh on eighteen years"
3977,since Prince Charming made me what I am.”
3978,“You lie!” cried James Vane.
3979,"She raised her hand up to heaven. “Before God I am telling the truth,” she cried."
3980,“Before God?”
3981,“Strike me dumb if it ain’t so. He is the worst one that comes here. They say he has sold himself to the devil
3982,"for a pretty face. It’s nigh on eighteen years since I met him. He hasn’t changed much since then. I have,"
3983,"though,” she added, with a sickly leer."
3984,“You swear this?”
3985,"“I swear it,” came in hoarse echo from her ﬂat mouth. “But don’t give me away to him,” she whined; “I am"
3986,afraid of him. Let me have some money for my night’s lodging.”
3987,"He broke from her with an oath and rushed to the corner of the street, but Dorian Gray had disappeared."
3988,"When he looked back, the woman had vanished also."
3989,                                            CHAPTER XVII.
3990,"A week later Dorian Gray was sitting in the conservatory at Selby Royal, talking to the pretty Duchess of"
3991,"Monmouth, who with her husband, a jaded-looking man of sixty, was amongst his guests. It was tea-time, and"
3992,"the mellow light of the huge, lace-covered lamp that stood on the table lit up the delicate china and hammered"
3993,"silver of the service at which the duchess was presiding. Her white hands were moving daintily among the cups,"
3994,and her full red lips were smiling at something that Dorian had whispered to her. Lord Henry was lying back in a
3995,"silk-draped wicker chair, looking at them. On a peach-coloured divan sat Lady Narborough, pretending to listen"
3996,to the duke’s description of the last Brazilian beetle that he had added to his collection. Three young men in
3997,elaborate smoking-suits were handing tea-cakes to some of the women. The house-party consisted of twelve
3998,"people, and there were more expected to arrive on the next day."
3999,"“What are you two talking about?” said Lord Henry, strolling over to the table and putting his cup down. “I"
4000,"hope Dorian has told you about my plan for rechristening everything, Gladys. It is a delightful idea.”"
4001,"“But I don’t want to be rechristened, Harry,” rejoined the duchess, looking up at him with her wonderful eyes."
4002,"“I am quite satisfied with my own name, and I am sure Mr. Gray should be satisfied with his.”"
4003,"“My dear Gladys, I would not alter either name for the world. They are both perfect. I was thinking chieﬂy of"
4004,"ﬂowers. Yesterday I cut an orchid, for my button-hole. It was a marvellous spotted thing, as eﬀective as the"
4005,seven deadly sins. In a thoughtless moment I asked one of the gardeners what it was called. He told me it was a
4006,"ﬁne specimen of Robinsoniana, or something dreadful of that kind. It is a sad truth, but we have lost the faculty"
4007,of giving lovely names to things. Names are everything. I never quarrel with actions. My one quarrel is with
4008,words. That is the reason I hate vulgar realism in literature. The man who could call a spade a spade should be
4009,compelled to use one. It is the only thing he is fit for.”
4010,"“Then what should we call you, Harry?” she asked."
4011,"“His name is Prince Paradox,” said Dorian."
4012,"“I recognize him in a flash,” exclaimed the duchess."
4013,"“I won’t hear of it,” laughed Lord Henry, sinking into a chair. “From a label there is no escape! I refuse the"
4014,title.”
4015,"“Royalties may not abdicate,” fell as a warning from pretty lips."
4016,"“You wish me to defend my throne, then?”"
4017,“Yes.”
4018,“I give the truths of to-morrow.”
4019,"“I prefer the mistakes of to-day,” she answered."
4020,"“You disarm me, Gladys,” he cried, catching the wilfulness of her mood."
4021,"“Of your shield, Harry, not of your spear.”"
4022,"“I never tilt against beauty,” he said, with a wave of his hand."
4023,"“That is your error, Harry, believe me. You value beauty far too much.”"
4024,“How can you say that? I admit that I think that it is better to be beautiful than to be good. But on the other
4025,"hand, no one is more ready than I am to acknowledge that it is better to be good than to be ugly.”"
4026,"“Ugliness is one of the seven deadly sins, then?” cried the duchess. “What becomes of your simile about the"
4027,orchid?”
4028,"“Ugliness is one of the seven deadly virtues, Gladys. You, as a good Tory, must not underrate them. Beer,"
4029,"the Bible, and the seven deadly virtues have made our England what she is.”"
4030,"“You don’t like your country, then?” she asked."
4031,“I live in it.”
4032,“That you may censure it the better.”
4033,“Would you have me take the verdict of Europe on it?” he inquired.
4034,“What do they say of us?”
4035,“That Tartuffe has emigrated to England and opened a shop.”
4036,"“Is that yours, Harry?”"
4037,“I give it to you.”
4038,“I could not use it. It is too true.”
4039,“You need not be afraid. Our countrymen never recognize a description.”
4040,“They are practical.”
4041,"“They are more cunning than practical. When they make up their ledger, they balance stupidity by wealth, and"
4042,vice by hypocrisy.”
4043,"“Still, we have done great things.”"
4044,"“Great things have been thrust on us, Gladys.”"
4045,“We have carried their burden.”
4046,“Only as far as the Stock Exchange.”
4047,"She shook her head. “I believe in the race,” she cried."
4048,“It represents the survival of the pushing.”
4049,“It has development.”
4050,“Decay fascinates me more.”
4051,“What of art?” she asked.
4052,  “It is a malady.”
4053,“Love?”
4054,“An illusion.”
4055,“Religion?”
4056,“The fashionable substitute for belief.”
4057,“You are a sceptic.”
4058,“Never! Scepticism is the beginning of faith.”
4059,“What are you?”
4060,“To define is to limit.”
4061,“Give me a clue.”
4062,“Threads snap. You would lose your way in the labyrinth.”
4063,“You bewilder me. Let us talk of some one else.”
4064,“Our host is a delightful topic. Years ago he was christened Prince Charming.”
4065,"“Ah! don’t remind me of that,” cried Dorian Gray."
4066,"“Our host is rather horrid this evening,” answered the duchess, colouring. “I believe he thinks that Monmouth"
4067,married me on purely scientific principles as the best specimen he could find of a modern butterfly.”
4068,"“Well, I hope he won’t stick pins into you, Duchess,” laughed Dorian."
4069,"“Oh! my maid does that already, Mr. Gray, when she is annoyed with me.”"
4070,"“And what does she get annoyed with you about, Duchess?”"
4071,"“For the most trivial things, Mr. Gray, I assure you. Usually because I come in at ten minutes to nine and tell"
4072,her that I must be dressed by half-past eight.”
4073,“How unreasonable of her! You should give her warning.”
4074,"“I daren’t, Mr. Gray. Why, she invents hats for me. You remember the one I wore at Lady Hilstone’s garden-"
4075,"party? You don’t, but it is nice of you to pretend that you do. Well, she made it out of nothing. All good hats are"
4076,made out of nothing.”
4077,"“Like all good reputations, Gladys,” interrupted Lord Henry. “Every eﬀect that one produces gives one an"
4078,enemy. To be popular one must be a mediocrity.”
4079,"“Not with women,” said the duchess, shaking her head; “and women rule the world. I assure you we can’t bear"
4080,"mediocrities. We women, as some one says, love with our ears, just as you men love with your eyes, if you ever"
4081,love at all.”
4082,"“It seems to me that we never do anything else,” murmured Dorian."
4083,"“Ah! then, you never really love, Mr. Gray,” answered the duchess with mock sadness."
4084,"“My dear Gladys!” cried Lord Henry. “How can you say that? Romance lives by repetition, and repetition"
4085,"converts an appetite into an art. Besides, each time that one loves is the only time one has ever loved."
4086,Diﬀerence of object does not alter singleness of passion. It merely intensiﬁes it. We can have in life but one
4087,"great experience at best, and the secret of life is to reproduce that experience as often as possible.”"
4088,"“Even when one has been wounded by it, Harry?” asked the duchess after a pause."
4089,"“Especially when one has been wounded by it,” answered Lord Henry."
4090,The duchess turned and looked at Dorian Gray with a curious expression in her eyes. “What do you say to
4091,"that, Mr. Gray?” she inquired."
4092,"Dorian hesitated for a moment. Then he threw his head back and laughed. “I always agree with Harry,"
4093,Duchess.”
4094,“Even when he is wrong?”
4095,"“Harry is never wrong, Duchess.”"
4096,“And does his philosophy make you happy?”
4097,“I have never searched for happiness. Who wants happiness? I have searched for pleasure.”
4098,"“And found it, Mr. Gray?”"
4099,“Often. Too often.”
4100,"The duchess sighed. “I am searching for peace,” she said, “and if I don’t go and dress, I shall have none this"
4101,evening.”
4102,"“Let me get you some orchids, Duchess,” cried Dorian, starting to his feet and walking down the conservatory."
4103,"“You are ﬂirting disgracefully with him,” said Lord Henry to his cousin. “You had better take care. He is very"
4104,fascinating.”
4105,"“If he were not, there would be no battle.”"
4106,"“Greek meets Greek, then?”"
4107,“I am on the side of the Trojans. They fought for a woman.”
4108,“They were defeated.”
4109,"“There are worse things than capture,” she answered."
